Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
Burnley,eng ENG,18,38,7,14,17,34,53,-19,35,0.92,39,56.7,-17.7,-0.47,19278,Maxwel Cornet - 9,Nick Pope
Levante,es ESP,19,38,8,11,19,51,76,-25,35,0.92,56.5,56.1,0.3,0.01,14961,José Luis Morales - 13,Cárdenas
Saint-Étienne,fr FRA,18,38,7,11,20,42,77,-35,32,0.84,41,61.2,-20.2,-0.53,21806,Wahbi Khazri - 10,Paul Bernardoni
Arminia,de GER,17,34,5,13,16,27,53,-26,28,0.82,28.2,62.3,-34.1,-1,16773,Masaya Okugawa - 8,Stefan Ortega
Metz,fr FRA,19,38,6,13,19,35,69,-34,31,0.82,30.2,63.8,-33.6,-0.88,14876,Nicolas de Préville - 5,Alexandre Oukidja
Alavés,es ESP,20,38,8,7,23,31,65,-34,31,0.82,36.9,58.4,-21.4,-0.56,10952,Joselu - 14,Fernando Pacheco
Bordeaux,fr FRA,20,38,6,13,19,52,91,-39,31,0.82,44.8,69.7,-24.9,-0.66,22141,Hwang Ui-jo - 11,Benoît Costil
Salernitana,it ITA,17,38,7,10,21,33,78,-45,31,0.82,37.7,65.9,-28.2,-0.74,15073,Federico Bonazzoli - 10,Vid Belec
Cagliari,it ITA,18,38,6,12,20,34,68,-34,30,0.79,39.6,61.4,-21.8,-0.57,9718,João Pedro - 13,Alessio Cragno
Genoa,it ITA,19,38,4,16,18,27,60,-33,28,0.74,37.8,51.6,-13.8,-0.36,12326,Mattia Destro - 9,Salvatore Sirigu
Venezia,it ITA,20,38,6,9,23,34,69,-35,27,0.71,36,72.4,-36.4,-0.96,6648,Thomas Henry - 9,Niki Mäenpää
Watford,eng ENG,19,38,6,5,27,34,77,-43,23,0.61,38.7,66.3,-27.6,-0.73,20614,Emmanuel Dennis - 10,Ben Foster
Norwich City,eng ENG,20,38,5,7,26,23,84,-61,22,0.58,33.1,76.7,-43.6,-1.15,26836,Teemu Pukki - 11,Tim Krul
Greuther Fürth,de GER,18,34,3,9,22,28,82,-54,18,0.53,30.7,60.3,-29.6,-0.87,7672,Branimir Hrgota - 9,Sascha Burchert
