Nation,League,Count
SWE,Ligue 1,2
SWE,Premier League,7
SWE,Serie A,6
TOG,Bundesliga,1
TOG,La Liga,1
TOG,Ligue 1,2
TUN,Bundesliga,2
TUN,Ligue 1,5
TUN,Premier League,1
TUN,Serie A,1
TUR,Bundesliga,3
TUR,La Liga,3
TUR,Ligue 1,5
TUR,Premier League,4
TUR,Serie A,5
UKR,La Liga,1
UKR,Ligue 1,2
UKR,Premier League,3
UKR,Serie A,3
URU,La Liga,17
URU,Ligue 1,2
URU,Premier League,2
URU,Serie A,9
USA,Bundesliga,14
USA,La Liga,4
USA,Ligue 1,4
USA,Premier League,3
USA,Serie A,5
UZB,Serie A,1
VEN,Bundesliga,1
VEN,La Liga,2
VEN,Ligue 1,1
VEN,Premier League,1
VEN,Serie A,2
WAL,La Liga,1
WAL,Premier League,12
WAL,Serie A,2
ZAM,Premier League,2
ZIM,Ligue 1,2
ZIM,Premier League,1
