,Country,FIFA,ISO,latitude,longitude,Count
76,Philippines,PHI,PHL,12.879721,121.774017,1
77,Poland,POL,POL,51.919438,19.145136,34
78,Portugal,POR,PRT,39.399872,-8.224454,58
79,Reunion,REU,REU,-21.115141,55.536384,1
80,Romania,ROU,ROU,45.943161,24.96676,11
81,South Africa,RSA,ZAF,-30.559482,22.937506,2
82,Russian Federation,RUS,RUS,61.52401,105.318756,6
83,Scotland,SCO,GB-SCT,57.092069,-4.747962,19
84,Senegal,SEN,SEN,14.497401,-14.452362,47
85,Sierra Leone,SLE,SLE,8.460555,-11.779889,1
86,Serbia,SRB,SRB,44.016521,21.005859,37
87,Sri Lanka,SRI,LKA,7.873054,80.771797,1
88,Switzerland,SUI,CHE,46.818188,8.227512,34
89,Suriname,SUR,SUR,3.919305,-56.027783,2
90,Slovakia,SVK,SVK,48.669026,19.699024,14
91,Slovenia,SVN,SVN,46.151241,14.995463,8
92,Sweden,SWE,SWE,60.128161,18.643501,24
93,Togo,TOG,TGO,8.619543,0.824782,4
94,Tunisia,TUN,TUN,33.886917,9.537499,9
95,Turkey,TUR,TUR,38.963745,35.243322,20
96,Ukraine,UKR,UKR,48.379433,31.16558,9
97,Uruguay,URU,URY,-32.522779,-55.765835,30
98,United States,USA,USA,37.09024,-95.712891,30
99,Uzbekistan,UZB,UZB,41.377491,64.585262,1
100,Venezuela,VEN,VEN,6.42375,-66.58973,7
101,Wales,WAL,GB-WLS,52.002437,-4.374426,15
102,Zambia,ZAM,ZMB,-13.133897,27.849332,2
103,Zimbabwe,ZIM,ZWE,-19.015438,29.154857,3
