,Country,League,FIFA,ISO,latitude,longitude,Count
92,Czech Republic,Premier League,CZE,CZE,49.817492,15.472962,4
93,Czech Republic,Serie A,CZE,CZE,49.817492,15.472962,3
94,Denmark,Bundesliga,DEN,DNK,56.26392,9.501785,15
95,Denmark,La Liga,DEN,DNK,56.26392,9.501785,5
96,Denmark,Ligue 1,DEN,DNK,56.26392,9.501785,1
97,Denmark,Premier League,DEN,DNK,56.26392,9.501785,14
98,Denmark,Serie A,DEN,DNK,56.26392,9.501785,7
99,Dominican Republic,La Liga,DOM,DOM,18.735693,-70.162651,2
100,Ecuador,Bundesliga,ECU,ECU,-1.831239,-78.183406,2
101,Ecuador,La Liga,ECU,ECU,-1.831239,-78.183406,1
102,Ecuador,Premier League,ECU,ECU,-1.831239,-78.183406,2
103,Ecuador,Serie A,ECU,ECU,-1.831239,-78.183406,2
104,Egypt,Bundesliga,EGY,EGY,26.820553,30.802498,2
105,Egypt,Premier League,EGY,EGY,26.820553,30.802498,3
106,England,Bundesliga,ENG,GB-ENG,52.177943,-1.605872,6
107,England,La Liga,ENG,GB-ENG,52.177943,-1.605872,1
108,England,Ligue 1,ENG,GB-ENG,52.177943,-1.605872,5
109,England,Premier League,ENG,GB-ENG,52.177943,-1.605872,198
110,England,Serie A,ENG,GB-ENG,52.177943,-1.605872,6
111,Equatorial Guinea,La Liga,EQG,GNQ,1.650801,10.267895,3
112,Spain,Bundesliga,ESP,ESP,40.463667,-3.74922,8
113,Spain,La Liga,ESP,ESP,40.463667,-3.74922,369
114,Spain,Ligue 1,ESP,ESP,40.463667,-3.74922,12
115,Spain,Premier League,ESP,ESP,40.463667,-3.74922,30
116,Spain,Serie A,ESP,ESP,40.463667,-3.74922,17
117,Finland,Bundesliga,FIN,FIN,61.92411,25.748151,3
118,Finland,Ligue 1,FIN,FIN,61.92411,25.748151,1
119,Finland,Premier League,FIN,FIN,61.92411,25.748151,2
120,Finland,Serie A,FIN,FIN,61.92411,25.748151,2
121,France,Bundesliga,FRA,FRA,46.227638,2.213749,36
122,France,La Liga,FRA,FRA,46.227638,2.213749,24
123,France,Ligue 1,FRA,FRA,46.227638,2.213749,275
124,France,Premier League,FRA,FRA,46.227638,2.213749,31
125,France,Serie A,FRA,FRA,46.227638,2.213749,22
126,Gabon,La Liga,GAB,GAB,-0.803689,11.609444,1
127,Gabon,Ligue 1,GAB,GAB,-0.803689,11.609444,3
128,Gabon,Premier League,GAB,GAB,-0.803689,11.609444,1
129,Gambia,Serie A,GAM,GMB,13.443182,-15.310139,4
130,Georgia,La Liga,GEO,GEO,42.315407,43.356892,1
131,Georgia,Ligue 1,GEO,GEO,42.315407,43.356892,1
132,Germany,Bundesliga,GER,DEU,51.165691,10.451526,220
133,Germany,La Liga,GER,DEU,51.165691,10.451526,3
134,Germany,Ligue 1,GER,DEU,51.165691,10.451526,8
135,Germany,Premier League,GER,DEU,51.165691,10.451526,10
136,Germany,Serie A,GER,DEU,51.165691,10.451526,10
137,Ghana,Bundesliga,GHA,GHA,7.946527,-1.023194,4
138,Ghana,La Liga,GHA,GHA,7.946527,-1.023194,3
139,Ghana,Ligue 1,GHA,GHA,7.946527,-1.023194,7
140,Ghana,Premier League,GHA,GHA,7.946527,-1.023194,6
141,Ghana,Serie A,GHA,GHA,7.946527,-1.023194,5
142,Guadeloupe,Ligue 1,GLP,GLP,16.995971,-62.067641,1
143,GuineaBissau,Ligue 1,GNB,GNB,11.803749,-15.180413,3
144,GuineaBissau,Serie A,GNB,GNB,11.803749,-15.180413,2
145,Greece,Bundesliga,GRE,GRC,39.074208,21.824312,6
146,Greece,Ligue 1,GRE,GRC,39.074208,21.824312,1
147,Greece,Premier League,GRE,GRC,39.074208,21.824312,3
148,Greece,Serie A,GRE,GRC,39.074208,21.824312,7
149,Grenada,Premier League,GRN,GRD,12.262776,-61.604171,1
150,French Guiana,Ligue 1,GUF,GUF,3.933889,-53.125782,2
151,Guinea,Bundesliga,GUI,GIN,9.945587,-9.696645,1
152,Guinea,La Liga,GUI,GIN,9.945587,-9.696645,2
153,Guinea,Ligue 1,GUI,GIN,9.945587,-9.696645,5
154,Guinea,Premier League,GUI,GIN,9.945587,-9.696645,1
155,Guinea,Serie A,GUI,GIN,9.945587,-9.696645,2
156,Honduras,La Liga,HON,HND,15.199999,-86.241905,1
157,Honduras,Ligue 1,HON,HND,15.199999,-86.241905,1
158,Hungary,Bundesliga,HUN,HUN,47.162494,19.503304,7
159,Ireland,Bundesliga,IRL,IRL,53.41291,-8.24389,1
160,Ireland,Premier League,IRL,IRL,53.41291,-8.24389,14
161,Iran,Bundesliga,IRN,IRN,32.427908,53.688046,1
162,Iran,Premier League,IRN,IRN,32.427908,53.688046,1
163,Iceland,Bundesliga,ISL,ISL,64.963051,-19.020835,1
164,Iceland,Premier League,ISL,ISL,64.963051,-19.020835,1
165,Iceland,Serie A,ISL,ISL,64.963051,-19.020835,4
166,Israel,Bundesliga,ISR,ISR,31.046051,34.851612,1
167,Israel,Serie A,ISR,ISR,31.046051,34.851612,2
168,Italy,Bundesliga,ITA,ITA,41.87194,12.56738,2
169,Italy,La Liga,ITA,ITA,41.87194,12.56738,1
170,Italy,Ligue 1,ITA,ITA,41.87194,12.56738,4
171,Italy,Premier League,ITA,ITA,41.87194,12.56738,4
172,Italy,Serie A,ITA,ITA,41.87194,12.56738,246
173,Jamaica,Premier League,JAM,JAM,18.109581,-77.297508,3
174,Japan,Bundesliga,JPN,JPN,36.204824,138.252924,8
175,Japan,La Liga,JPN,JPN,36.204824,138.252924,1
176,Japan,Ligue 1,JPN,JPN,36.204824,138.252924,1
177,Japan,Premier League,JPN,JPN,36.204824,138.252924,2
178,Japan,Serie A,JPN,JPN,36.204824,138.252924,2
179,South Korea,Bundesliga,KOR,KOR,35.907757,127.766922,4
180,South Korea,La Liga,KOR,KOR,35.907757,127.766922,1
